번호,게시일,shortcode,형식,작성계정,좋아요,댓글,댓글/좋아요,콘텐츠유형,핵심문구
1,2026-09-05,Dc6QPnYvIfS,릴스,minlee0880,207,13,0.06,자사제품(한입샐러드),"저도 여행갈때 꼭 챙겨다니는 한입 샐러드"
2,2026-09-04,Dc3U2WvSRee,릴스,manimo_robben(협업),111,23,0.21,일상/질문,"당신의 최애 술 버릇은?"
3,2026-09-04,Dc27pqzGQQw,이미지,kimrakkeun(협업),229,9,0.04,브랜드 협업 스토리,"광고보다 더 강한 건 원래 먹던 사람의 확신"
4,2026-09-01,DcvsHXGFGpI,이미지,o_nn_n(협업),비공개,비공개,-,일상/제품노출,"매일 들고 다녔던 마시는샐러드"
5,2026-08-20,DcQQNFBP6fS,릴스,minlee0880,845,5546,6.56,건강지식(오해교정),"기초대사량, 왜 중요할까요?"
6,2026-08-08,DbyjH1Cv45Y,릴스,minlee0880,246,8,0.03,일상/생일,"우리 식구들과 행복한 생파 중"
7,2026-07-31,Dbc6y_4PtKU,릴스,minlee0880,256,9,0.04,광고(프로바이오틱스),"100kg에서 60kg까지 감량하면서 깨달은 게"
8,2026-07-30,Dba47cSv3aS,릴스(고정),minlee0880,5420,3683,0.68,건강지식+정리본,"생활 속 숨어있는 환경 호르몬! 당장 버리세요"
9,2026-07-12,Dasknigj6JL,이미지,minlee0880,442,33,0.07,브랜드 서사/수상,"메디슨벨 라이징 브랜드 선정"
10,2026-06-18,DZuL4LOvvn0,릴스,minlee0880,206,13,0.06,건강지식(수부지 피부),"수부지인데 크림을 줄이고 있다면"
11,2026-06-10,DZZfo17g9hA,릴스,maylinwellaging(협업),124,38,0.31,의학지식(보톡스 내성),"보톡스 효과가 예전 같지 않다?"
12,2026-06-08,DZUtQSxPh-D,릴스,minlee0880,310,58,0.19,자사 신제품 런칭,"한입 샐러드 정식 런칭 / 1.4.6 법칙"
13,2026-05-29,DY6x07oP-BR,릴스,minlee0880,192,10,0.05,유료광고(스킨케어),"[유료광고 포함] 쥬베룩 스킨케어"
14,2026-05-28,DY4rod7j_xZ,이미지,minlee0880,267,13,0.05,시술후기/학회,"신약 40호 뉴비쥬 심포지움"
15,2026-05-22,DYpAzlPPb3e,릴스,minlee0880,372,45,0.12,광고(비데),"(광고) 웰스 스파원 케어+ 비데"
